name,last_name,type_document_id,document_id,email,phone,student_state,headquarter_name,amount_1_1,amount_1_10,amount_1_2,amount_1_3,amount_1_4,amount_1_5,amount_1_6,amount_1_7,amount_1_8,amount_1_9,amount_2_1,amount_2_10,amount_2_2,amount_2_3,amount_2_4,amount_2_5,amount_2_6,amount_2_7,amount_2_8,amount_2_9,amount_3_1,amount_3_10,amount_3_2,amount_3_3,amount_3_4,amount_3_5,amount_3_6,amount_3_7,amount_3_8,amount_3_9,concept_1_1,concept_1_10,concept_1_2,concept_1_3,concept_1_4,concept_1_5,concept_1_6,concept_1_7,concept_1_8,concept_1_9,concept_2_1,concept_2_10,concept_2_2,concept_2_3,concept_2_4,concept_2_5,concept_2_6,concept_2_7,concept_2_8,concept_2_9,concept_3_1,concept_3_10,concept_3_2,concept_3_3,concept_3_4,concept_3_5,concept_3_6,concept_3_7,concept_3_8,concept_3_9,payment_method_1_1,payment_method_1_10,payment_method_1_2,payment_method_1_3,payment_method_1_4,payment_method_1_5,payment_method_1_6,payment_method_1_7,payment_method_1_8,payment_method_1_9,payment_method_2_1,payment_method_2_10,payment_method_2_2,payment_method_2_3,payment_method_2_4,payment_method_2_5,payment_method_2_6,payment_method_2_7,payment_method_2_8,payment_method_2_9,payment_method_3_1,payment_method_3_10,payment_method_3_2,payment_method_3_3,payment_method_3_4,payment_method_3_5,payment_method_3_6,payment_method_3_7,payment_method_3_8,payment_method_3_9,receipt_number_1_1,receipt_number_1_10,receipt_number_1_2,receipt_number_1_3,receipt_number_1_4,receipt_number_1_5,receipt_number_1_6,receipt_number_1_7,receipt_number_1_8,receipt_number_1_9,receipt_number_2_1,receipt_number_2_10,receipt_number_2_2,receipt_number_2_3,receipt_number_2_4,receipt_number_2_5,receipt_number_2_6,receipt_number_2_7,receipt_number_2_8,receipt_number_2_9,receipt_number_3_1,receipt_number_3_10,receipt_number_3_2,receipt_number_3_3,receipt_number_3_4,receipt_number_3_5,receipt_number_3_6,receipt_number_3_7,receipt_number_3_8,receipt_number_3_9,state_1,state_2,state_3
Melania,Abascal,TI,10965138,amaya01@example.com,3359154708,active,Sede Centro,192480.47,105899.18,51123.69,103866.37,56678.03,71772.35,220871.45,251087.91,294166.57,154640.97,,,,,,,,,,,,,,,,,,,,,Torneo interno,Recargo por mora,Descuento hermanos,Torneo interno,Pago anticipado,Torneo interno,Pago anticipado,Recargo por mora,Torneo interno,Recargo por mora,,,,,,,,,,,,,,,,,,,,,Transferencia,Nequi,Daviplata,Tarjeta,Daviplata,Nequi,Efectivo,Daviplata,Transferencia,Nequi,,,,,,,,,,,,,,,,,,,,,REC-651719,REC-615174,REC-572795,REC-694989,REC-468426,REC-528479,REC-674139,REC-196076,REC-759494,REC-769655,,,,,,,,,,,,,,,,,,,,,active,,
Brunilda,Sanabria,TI,13176186,telmoespanol@example.com,+57 325 436 5564,active,Sede Albacete,170952.6,256132.3,169129.79,154376.33,103733.37,245675.77,72069.0,172255.63,257072.06,62016.86,91400.19,290878.18,140990.87,63527.47,152720.66,206986.62,195707.01,196693.67,76505.77,248840.06,233876.73,148566.43,243302.97,116402.62,298686.29,192818.15,137337.85,243357.93,112568.02,73317.46,Pago anticipado,Descuento hermanos,Cuota adicional,Material deportivo,Mensualidad,Uniforme,Pago anticipado,Cuota adicional,Cuota adicional,Campamento,Pago anticipado,Cuota adicional,Campamento,Torneo interno,Pago anticipado,Uniforme,Campamento,Cuota adicional,Campamento,Torneo interno,Pago anticipado,Campamento,Mensualidad,Descuento hermanos,Uniforme,Descuento hermanos,Cuota adicional,Recargo por mora,Descuento hermanos,Matrícula,Tarjeta,Efectivo,Daviplata,PSE,PSE,Tarjeta,Tarjeta,Nequi,PSE,Tarjeta,Nequi,Efectivo,Nequi,Transferencia,Tarjeta,Nequi,PSE,Tarjeta,Efectivo,PSE,Tarjeta,Tarjeta,Tarjeta,Daviplata,Tarjeta,Transferencia,PSE,Nequi,Efectivo,PSE,REC-906510,REC-398313,REC-257878,REC-597008,REC-200857,REC-605828,REC-714265,REC-540762,REC-268539,REC-216208,REC-819192,REC-152270,REC-524107,REC-130334,REC-729463,REC-446081,REC-730886,REC-374053,REC-616015,REC-670861,REC-807620,REC-629426,REC-569941,REC-376218,REC-957987,REC-402252,REC-724284,REC-901996,REC-125853,REC-452088,expired,active,active
Josep,Benet,CE,15134794,dcabanas@example.net,3380526202,active,Sede Navarra,291224.69,61635.25,221284.83,244261.49,210871.67,297321.76,228063.94,260383.68,289074.04,282448.85,104339.11,147403.76,223461.94,136777.63,189474.6,52999.58,201901.04,117168.94,158867.02,169599.69,,,,,,,,,,,Uniforme,Descuento hermanos,Descuento hermanos,Mensualidad,Material deportivo,Matrícula,Cuota adicional,Torneo interno,Cuota adicional,Campamento,Mensualidad,Uniforme,Descuento hermanos,Torneo interno,Cuota adicional,Cuota adicional,Uniforme,Material deportivo,Torneo interno,Recargo por mora,,,,,,,,,,,Daviplata,PSE,Transferencia,Transferencia,Nequi,Daviplata,Transferencia,Efectivo,Transferencia,PSE,PSE,Tarjeta,Tarjeta,Nequi,Transferencia,Transferencia,Tarjeta,Daviplata,Tarjeta,Nequi,,,,,,,,,,,REC-267732,REC-353661,REC-276735,REC-961807,REC-608489,REC-274399,REC-290828,REC-402460,REC-118087,REC-984784,REC-452489,REC-554519,REC-644465,REC-186388,REC-834237,REC-727771,REC-178278,REC-226138,REC-778589,REC-314896,,,,,,,,,,,expired,expired,
Lourdes,Dalmau,CE,16095815,ncastell@example.net,+57 338 156 1125,active,Sede Ourense,60234.38,182733.71,132807.97,159104.67,209954.84,93316.21,144835.93,112594.67,162357.8,219741.94,232068.32,187314.25,68161.36,125116.77,199033.32,91584.04,76949.7,57163.21,287129.34,249522.73,,,,,,,,,,,Matrícula,Matrícula,Recargo por mora,Campamento,Cuota adicional,Mensualidad,Cuota adicional,Pago anticipado,Campamento,Matrícula,Campamento,Material deportivo,Matrícula,Pago anticipado,Material deportivo,Descuento hermanos,Torneo interno,Pago anticipado,Recargo por mora,Torneo interno,,,,,,,,,,,Transferencia,Daviplata,Daviplata,Transferencia,Daviplata,Daviplata,Daviplata,Nequi,Nequi,Tarjeta,Transferencia,Transferencia,Efectivo,Transferencia,Efectivo,Daviplata,Daviplata,Transferencia,Nequi,Efectivo,,,,,,,,,,,REC-142565,REC-591276,REC-436465,REC-184725,REC-246305,REC-675356,REC-880152,REC-257118,REC-736278,REC-661420,REC-116308,REC-767628,REC-484681,REC-291007,REC-333380,REC-500215,REC-409016,REC-461592,REC-486688,REC-243253,,,,,,,,,,,active,active,
Nicolasa,Sobrino,CC,16788532,marisol79@example.net,+57 315 228 4362,active,Sede Ourense,196992.44,111907.31,265246.52,95908.83,242335.77,97883.3,130257.65,164053.27,275622.12,287027.6,155372.47,92165.4,113013.91,252469.66,79080.34,279061.2,99292.93,57574.05,166592.42,166071.24,,,,,,,,,,,Mensualidad,Material deportivo,Pago anticipado,Descuento hermanos,Material deportivo,Material deportivo,Uniforme,Cuota adicional,Uniforme,Uniforme,Pago anticipado,Uniforme,Matrícula,Uniforme,Uniforme,Cuota adicional,Mensualidad,Mensualidad,Cuota adicional,Uniforme,,,,,,,,,,,Transferencia,Daviplata,Efectivo,Efectivo,Nequi,Daviplata,Nequi,Nequi,PSE,Transferencia,PSE,Daviplata,Transferencia,Tarjeta,Transferencia,Efectivo,Daviplata,Tarjeta,Transferencia,Efectivo,,,,,,,,,,,REC-327260,REC-325065,REC-432274,REC-574675,REC-587482,REC-454563,REC-652826,REC-950790,REC-887203,REC-481090,REC-399401,REC-478612,REC-815879,REC-331491,REC-387829,REC-445162,REC-581878,REC-422161,REC-386482,REC-713293,,,,,,,,,,,active,expired,
Tristán,Torralba,CC,20949687,porcelnicodemo@example.net,+57 342 534 8957,active,Sede Sur,226515.14,168208.21,74851.74,245211.04,135881.61,282841.06,172690.71,129198.66,154177.04,287773.8,261801.98,132279.9,82523.59,166902.27,295043.37,251494.91,130099.83,180154.36,121301.44,241412.85,166511.59,94293.97,238320.69,273838.91,241730.03,78510.03,91304.72,164132.74,93561.93,111166.44,Uniforme,Matrícula,Torneo interno,Mensualidad,Uniforme,Torneo interno,Recargo por mora,Descuento hermanos,Matrícula,Uniforme,Material deportivo,Recargo por mora,Torneo interno,Matrícula,Mensualidad,Descuento hermanos,Torneo interno,Uniforme,Recargo por mora,Uniforme,Descuento hermanos,Torneo interno,Descuento hermanos,Torneo interno,Campamento,Uniforme,Material deportivo,Matrícula,Material deportivo,Cuota adicional,Transferencia,PSE,PSE,Efectivo,Efectivo,Nequi,Daviplata,PSE,PSE,Transferencia,Transferencia,Nequi,PSE,Daviplata,Daviplata,Nequi,PSE,Transferencia,Nequi,Tarjeta,Efectivo,Nequi,PSE,Tarjeta,PSE,Transferencia,Nequi,Transferencia,PSE,PSE,REC-975022,REC-183607,REC-945637,REC-253620,REC-683170,REC-654941,REC-656905,REC-190365,REC-572257,REC-943159,REC-133090,REC-331574,REC-806556,REC-272623,REC-122387,REC-185091,REC-568605,REC-834924,REC-383096,REC-870614,REC-187382,REC-762226,REC-260156,REC-536485,REC-336612,REC-878945,REC-416176,REC-270408,REC-232373,REC-136244,active,active,expired
Emiliana,Beltran,CE,22120246,oribas@example.net,323-788-5295,active,Sede Navarra,89702.2,73140.07,188698.1,269922.76,166164.24,199565.54,120097.54,279388.12,182808.94,108798.55,210002.18,110269.59,221305.68,152180.93,269395.13,64908.64,199337.17,131992.16,57884.77,296767.24,71353.49,74658.32,157401.31,98368.85,251976.1,161046.9,206228.43,148758.72,223770.08,140650.96,Pago anticipado,Mensualidad,Campamento,Campamento,Pago anticipado,Mensualidad,Torneo interno,Matrícula,Uniforme,Torneo interno,Uniforme,Matrícula,Descuento hermanos,Matrícula,Torneo interno,Campamento,Material deportivo,Campamento,Torneo interno,Cuota adicional,Cuota adicional,Matrícula,Recargo por mora,Torneo interno,Descuento hermanos,Mensualidad,Matrícula,Mensualidad,Cuota adicional,Mensualidad,Daviplata,Daviplata,Transferencia,Transferencia,Nequi,Transferencia,Transferencia,Tarjeta,Tarjeta,PSE,Daviplata,PSE,Tarjeta,Nequi,Efectivo,Nequi,PSE,Efectivo,Nequi,Transferencia,Efectivo,PSE,Daviplata,Transferencia,Transferencia,PSE,PSE,Tarjeta,Efectivo,Efectivo,REC-148200,REC-717009,REC-867809,REC-433612,REC-527729,REC-804596,REC-816267,REC-677071,REC-563850,REC-353468,REC-855923,REC-184870,REC-479870,REC-729511,REC-512173,REC-276242,REC-173001,REC-792279,REC-593861,REC-805733,REC-977459,REC-307561,REC-626440,REC-726280,REC-196638,REC-207817,REC-130157,REC-498910,REC-481221,REC-848160,active,active,cancelled
Marisa,Porta,CC,22315507,fgimenez@example.org,3417060446,inactive,Sede Ourense,66979.65,186304.43,269626.63,209297.93,66561.96,236984.15,195290.79,295050.98,61650.04,52821.49,,,,,,,,,,,,,,,,,,,,,Uniforme,Descuento hermanos,Torneo interno,Cuota adicional,Descuento hermanos,Uniforme,Torneo interno,Descuento hermanos,Descuento hermanos,Torneo interno,,,,,,,,,,,,,,,,,,,,,Transferencia,Nequi,Daviplata,Efectivo,Daviplata,Efectivo,Nequi,PSE,Efectivo,PSE,,,,,,,,,,,,,,,,,,,,,REC-107622,REC-994710,REC-177968,REC-923522,REC-183105,REC-966995,REC-329172,REC-745961,REC-682766,REC-681101,,,,,,,,,,,,,,,,,,,,,active,,
Juan Manuel,Álamo,CC,22517517,igalan@example.net,(303) 3762152,active,Sede Sur,240046.02,88620.77,258948.98,95337.85,242241.88,131048.81,141266.62,80279.81,274927.49,81660.98,,,,,,,,,,,,,,,,,,,,,Recargo por mora,Cuota adicional,Pago anticipado,Matrícula,Cuota adicional,Pago anticipado,Torneo interno,Campamento,Torneo interno,Uniforme,,,,,,,,,,,,,,,,,,,,,Transferencia,Transferencia,Efectivo,PSE,PSE,Nequi,Nequi,Efectivo,Transferencia,PSE,,,,,,,,,,,,,,,,,,,,,REC-146657,REC-793147,REC-399901,REC-692718,REC-146117,REC-656639,REC-140611,REC-465308,REC-962260,REC-163753,,,,,,,,,,,,,,,,,,,,,active,,
Prudencio,Rosado,CE,23470708,murilloestrella@example.com,346-247-7717,active,Sede Suba,58857.32,151261.01,241717.85,201247.96,59294.03,105789.23,174498.59,193612.54,142038.98,272419.0,276379.37,113706.45,228827.18,261615.33,72639.95,189571.44,194428.72,252167.56,149841.72,282550.72,,,,,,,,,,,Material deportivo,Cuota adicional,Matrícula,Torneo interno,Campamento,Torneo interno,Cuota adicional,Campamento,Mensualidad,Cuota adicional,Torneo interno,Mensualidad,Mensualidad,Uniforme,Material deportivo,Torneo interno,Uniforme,Cuota adicional,Material deportivo,Uniforme,,,,,,,,,,,Nequi,Tarjeta,Transferencia,Nequi,Efectivo,Daviplata,Tarjeta,Tarjeta,PSE,Daviplata,Daviplata,Transferencia,PSE,Efectivo,Daviplata,Nequi,Nequi,Daviplata,Daviplata,Efectivo,,,,,,,,,,,REC-883347,REC-719119,REC-105405,REC-779988,REC-394760,REC-240877,REC-175204,REC-760821,REC-873984,REC-218666,REC-816164,REC-833858,REC-575537,REC-283578,REC-628571,REC-701883,REC-765874,REC-448954,REC-497349,REC-460450,,,,,,,,,,,expired,expired,
